beat,timestamp_m,locLat,locLon,accX,accY,accZ,gyroX,gyroY,gyroZ,uncMagX,uncMagY,unMagZ,verticalDistance,horizontalDistance
1607693972,1607693972502.0,50.5284812,14.0712175,0.320823,1.4030021000000001,-9.431957,0.026218325,0.015442673999999998,-0.2812057,207.3,0.099999905,-29.599998,14.0,0.0
1607693973,1607693973496.0,50.5284973,14.071199100000001,0.34835634,1.2000936500000001,-9.645041,0.042100817,-0.013267992,-0.27692965,209.1,4.5,-30.3,14.0,0.0
1607693974,1607693974502.0,50.528514,14.0711549,-1.0295067,0.8535328999999999,-9.291897,0.03293784,0.041709878,-0.37222463,209.90001,9.0,-28.8,14.0,0.0
1607693975,1607693975505.0,50.528514,14.071133900000001,0.62847793,2.267309,-9.552864999999999,-0.018985707,-0.012657126999999999,0.15495208,209.5,13.700001,-28.7,14.0,0.0
1607693976,1607693976495.0,50.5285151,14.071103699999998,1.7154455000000002,0.9684546,-9.369708000000001,-0.01715311,-0.042589523,0.27345994,208.8,10.4,-29.2,14.0,0.0
1607693977,1607693977506.0,50.528510700000005,14.071075899999999,2.2709002000000003,0.90021986,-9.624691,-0.042198587,-0.06458067,0.504367,207.5,3.0,-28.8,15.0,0.0
1607693978,1607693978502.0,50.5285055,14.071056,1.292869,0.50397944,-9.514558000000001,-0.014098786,0.0032253694,0.12257622,206.2,-1.7999996999999999,-28.099998,15.0,0.0
1607693979,1607693979506.0,50.528509299999996,14.071015099999999,0.6727706999999999,1.0163386,-9.454702000000001,0.0042271726,0.00078190863,0.013231341,206.90001,-3.9,-29.599998,15.0,0.0
1607693980,1607693980495.0,50.528529999999996,14.070969,1.1563994,0.5506664000000001,-9.570822,-0.0018814802,-0.005937609399999999,0.02025629,208.25900000000001,-3.6539998,-29.3,15.0,0.0
1607693981,1607693981496.0,50.5285632,14.070929300000001,1.0690111,0.6799533,-9.618706,-0.0031032115000000004,-0.0022724178,0.048661523,208.7,-4.4,-30.5,15.0,0.0
1607693982,1607693982498.0,50.5285964,14.070885999999998,1.3024458,1.3347674999999999,-9.333796000000001,-0.011655323,-0.027928757999999998,0.14517823,204.7,-5.1,-29.5,15.0,0.0
1607693983,1607693983502.0,50.528623700000004,14.0708367,1.5753847,2.3379381,-9.461885,-0.0128770545,-0.015100588,0.19832349999999999,203.1,-6.4999995,-28.7,15.0,0.0
1607693984,1607693984506.0,50.52866160000001,14.070774700000001,0.748188,1.6412252500000002,-9.452309,-0.006157536,0.014220945,0.14823256,199.8,-9.0,-26.8,15.0,0.0
1607693985,1607693985497.0,50.528698799999994,14.0707446,0.9612719999999999,1.2330139,-9.599552000000001,-0.014098786,-0.010824531,0.04743979,198.0,-9.299999,-25.2,15.0,0.0
1607693986,1607693986496.0,50.528729,14.0707375,1.0773908,2.183512,-9.479841,-0.021429168,-0.034648277000000005,0.17449977,197.6,-9.9,-25.9,15.0,0.0
1607693987,1607693987506.0,50.5287503,14.070736300000002,2.31579145,0.8595184000000001,-9.442732000000001,-0.0648006,-0.0535851,0.6448659999999999,194.3,-9.799999,-26.0,15.0,0.0
1607693988,1607693988502.0,50.528783000000004,14.0707335,3.1376014,1.1336545,-9.464279,-0.053805023,-0.07007846,0.43350664,186.6,-5.2999997,-25.8,15.0,0.0
1607693989,1607693989497.0,50.528805799999994,14.070739900000001,0.94451255,0.22266077,-9.736021000000001,0.017666206,-0.0071593397,0.11463497,184.8,0.3000002,-24.599998,15.0,0.0
1607693990,1607693990506.0,50.528813899999996,14.070764800000001,0.50637364,0.61770403,-9.759963,0.0005619824,-0.0016615521,-0.029529227,185.0,1.7000003000000001,-22.285999999999998,15.0,0.0
1607693991,1607693991496.0,50.528816,14.0708107,-0.63087213,0.6835446,-9.518148,-0.0024923459,0.005668831,-0.12360248,185.6,1.9000001,-22.5,15.0,0.0
1607693992,1607693992502.0,50.5288192,14.0708609,-0.29448682,0.6787562,-9.598353999999999,0.010335825,0.00078190863,-0.17308256,185.5,-1.0,-22.9,15.0,0.0
1607693993,1607693993497.0,50.528825700000006,14.0708957,0.49320555,0.7457938000000001,-9.794678999999999,0.010335825,-0.0028832834,-0.098557,185.90001,-3.9,-23.4,15.0,0.0
1607693994,1607693994496.0,50.5288381,14.070940400000001,-0.06943185,0.80325466,-9.611523,0.011557557,-0.004105014000000001,-0.08695056,186.8,-5.2000003,-21.8,15.0,0.0
1607693995,1607693995497.0,50.528855799999995,14.070986300000001,0.32920274,1.1001357,-9.43914,-0.022650898,-0.013267992,-0.09733527,188.1,-4.4999995,-20.9,15.0,0.0
1607693996,1607693996502.0,50.5288845,14.071044400000002,-0.20350714,0.6500258000000001,-9.42238,0.011557557,0.04293161,-0.04968778,188.5,-6.2999997,-25.4,15.0,0.0
1607693997,1607693997496.0,50.5289162,14.071094899999999,-0.039504327,0.9696517,-9.46966625,0.0023945756,-0.030983082999999998,-0.042968266,188.2,-6.1,-25.5,15.0,0.0
1607693998,1607693998502.0,50.5289432,14.0711329,0.42018240000000007,1.0175357,-9.803059,0.005448904,0.011166618,-0.0026511564,189.3,-7.1,-25.0,15.0,0.0
1607693999,1607693999496.0,50.528980499999996,14.071179999999998,0.89064306,0.62967503,-9.730036,-0.006157536,0.0050579653999999995,0.06087883,188.90001,-6.4999995,-24.4,15.0,0.0
1607694000,1607694000496.0,50.5290231,14.0712272,0.91697925,0.9528923,-9.709685,-0.0037140771999999997,-0.016322318,0.012620475,188.3,-6.6,-24.7,15.0,0.0
1607694001,1607694001503.0,50.529064899999995,14.0712739,-0.089782566,2.1727380000000003,-9.337387,0.0030054413,0.030714303,-0.111385174,188.6,-6.7000003,-24.3,15.0,0.0
1607694002,1607694002497.0,50.5291026,14.071326500000001,-0.24899697,2.3391352000000003,-9.7342255,0.04576601,0.047207665,-0.18713246,190.1,-7.9999994999999995,-23.8,15.0,0.0
1607694003,1607694003196.0,50.5291363,14.071366399999999,0.16998832,1.7513584999999998,-8.892064999999999,0.00178371,0.035601225,-0.216454,191.8,-8.5,-23.9,15.0,0.0
1607694008,1607694008803.0,50.5292391,14.071366399999999,0.092176765,0.92535895,-9.510966,-0.004324939,0.025827381500000003,-0.10100046500000001,199.6,-8.6,-26.5,15.0,0.0
1607694009,1607694009502.0,50.529309600000005,14.071335000000001,-0.45609543,0.9923966000000001,-9.515755,0.01339015,0.014831808,-0.15781093,202.1,-8.6,-27.5,15.0,0.0
1607694010,1607694010501.0,50.529364799999996,14.071304300000001,-0.11492168,1.1180921999999998,-9.725247,0.009114094,0.0050579653999999995,-0.16758478,203.6,-6.6,-27.4,15.0,0.0
1607694011,1607694011502.0,50.5294041,14.071272199999997,-0.22026655,1.0378863999999999,-9.534908,0.0042271726,0.022162192,-0.098557,204.6,-5.4,-27.4,15.0,0.0
1607694012,1607694012494.0,50.5294485,14.07122,0.34715924,1.2366052,-9.824607,-0.0012706146,0.0038362340000000004,-0.030140093,205.2,-4.1,-27.8,15.0,0.0
1607694013,1607694013495.0,50.529487200000005,14.0711554,0.19991584,1.0330979999999998,-9.456498,0.01339015,0.0026145047,-0.0524366765,205.6,-3.9999995000000004,-27.0,15.0,0.0
1607694014,1607694014493.0,50.5295246,14.0710814,0.4285621,1.5562311000000002,-9.3733,-0.011655323,-0.0010506874000000002,0.013231341,206.2,-2.9,-25.8,15.0,0.0
1607694015,1607694015496.0,50.5295595,14.0710117,1.6436194,1.7250223000000002,-9.358934,-0.017763976,-0.02120924,0.17816496,205.45401,-4.034,-25.8,15.0,0.0
1607694016,1607694016496.0,50.5295912,14.0709497,1.7058687,2.018312,-9.446322,-0.020818302,-0.01876578,0.25879917,203.2,-5.9999995,-26.8,15.0,0.0
1607694017,1607694017496.0,50.5296196,14.0708967,1.5682021000000002,2.3139958,-9.483433,-0.012266188999999999,-0.021820106000000002,0.21115167,200.2,-9.700001,-26.599998,15.0,0.0
1607694018,1607694018503.0,50.5296374,14.070874400000001,0.8535328999999999,1.1971009,-9.648633,0.014001016000000002,0.00078190863,-0.34779003,199.024,-10.800001,-25.4,15.0,0.0
1607694019,1607694019496.0,50.529667700000005,14.070859400000002,0.4309563,2.1404164,-9.65821,0.011557557,0.056370645999999996,-0.06129422,202.0,-8.700001,-26.8,15.0,0.0
1607694020,1607694020506.0,50.5296922,14.070851500000002,0.6380547,2.2026656000000004,-9.514558000000001,0.009114094,0.0038362340000000004,-0.15414573,202.2,-7.2999997,-29.7,18.0,0.0
1607694021,1607694021497.0,50.5297021,14.070845000000002,0.49799395,1.6124948000000001,-9.616311,0.0048380382,0.0050579653999999995,-0.08572883,204.40001,0.3000002,-33.1,65.0,0.0
1607694022,1607694022496.0,50.529711299999995,14.0708392,0.58298814,1.0977415000000001,-9.646238,-0.0012706146,0.0013927734,-0.0050946176,207.0,2.2,-32.6,70.0,116.0
1607694023,1607694023492.0,50.5297097,14.0708389,0.6536171,1.0211270000000001,-9.636662,-0.0018814802,0.0013927734,-0.01120327,207.503,2.1,-33.3,69.0,116.0
1607694024,1607694024498.0,50.529707,14.0708375,0.6476316,1.3611037,-9.575610000000001,-4.888326e-05,0.00078190863,-0.026474900000000003,207.8,2.3,-33.0,72.0,60.0
1607694025,1607694025496.0,50.5297057,14.070838,0.5722142,1.2964603000000001,-9.599552000000001,-0.0049358048,-0.00043982174000000004,0.019339992,207.70001000000002,2.1,-33.3,72.0,46.0
1607694026,1607694026496.0,50.5297049,14.070838199999999,0.7469909,1.3132197,-9.588778,-0.0037140771999999997,-0.0022724178,0.007122688,205.90001,1.8,-34.8,72.0,46.0
1607694027,1607694027496.0,50.5297046,14.0708383,0.62608373,1.9081788,-9.550469999999999,-0.0024923459,0.00078190863,-0.006927213000000001,204.1,2.6,-37.4,72.0,46.0
1607694028,1607694028500.0,50.5297045,14.0708384,0.8786719999999999,1.4903905000000002,-9.603143,0.006059769499999999,0.001087341015,-0.037470475,204.70001000000002,3.0,-36.1,72.0,46.0
1607694029,1607694029496.0,50.5297037,14.070840599999999,1.4796166000000002,0.8295909,-9.580399,0.046987742,0.047207665,-0.5310496,206.1,5.3,-34.5,75.0,46.0
1607694030,1607694030506.0,50.5297025,14.070845000000002,1.3084313,0.48243165,-9.679757,0.06470283,0.09180083,-0.7747848,209.40001,15.400001000000001,-33.0,75.0,46.0
1607694031,1607694031506.0,50.5297025,14.0708547,0.61650693,0.47884035,-9.730036,0.052485526,0.07714006,-0.6397835999999999,207.8,28.0,-31.4,75.0,46.0
1607694032,1607694032506.5,50.5297037,14.070864199999999,0.61770403,0.9744401,-9.659407,-0.0024923459,-0.004105014000000001,0.038276814,203.90001,31.8,-31.599998,72.0,46.0
1607694033,1607694033505.0,50.5297061,14.070863300000001,0.7230489,1.2018893,-9.6216975,0.00178371,0.0032253694,0.012009609499999999,203.6,25.1,-30.199999,37.0,46.0
1607694034,1607694034504.5,50.529703000000005,14.0708614,0.81881696,0.91219085,-9.607930999999999,0.0030054413,0.0020036389999999998,-0.0057054823,202.5,21.2,-28.199999,0.0,27.0
1607694035,1607694035503.0,50.52970070000001,14.070862400000001,0.79487497,0.8355764000000001,-9.629479,-0.0012706146,-0.0016615521,0.012009609499999999,202.2,21.2,-28.4,1.0,11.0
1607694036,1607694036497.0,50.5296946,14.070863899999999,0.700304,0.7098808000000001,-9.710882000000002,-0.008600999,-0.0047158784999999995,0.035222486000000004,202.7,21.1,-28.5,1.0,11.0
1607694037,1607694037497.0,50.529692499999996,14.0708643,1.1384428999999998,0.5315128,-9.64145,0.005448904,0.00017104297999999998,-0.09122662,203.40001,22.1,-28.8,14.0,11.0
1607694038,1607694038498.0,50.529689399999995,14.070863399999999,0.4285621,0.32561144,-9.744401,0.026218325,0.034379497,-0.38077673,201.90001,25.4,-29.9,29.0,11.0
1607694039,1607694039497.0,50.529687599999995,14.070864000000002,-0.320823,0.46208093,-9.828198,0.027440048999999998,0.029492576,-0.3484009,197.3,25.8,-28.5,29.0,11.0
1607694040,1607694040502.0,50.529667700000005,14.070855400000001,-0.11851298,0.7625531999999999,-9.718064,0.023774862,0.029492576,-0.2781514,192.1,24.0,-26.4,29.0,11.0
1607694041,1607694041496.0,50.529646299999996,14.070855900000002,-0.034715924,0.81462711,-9.751583,0.015222747,0.017886136,-0.111385174,188.90001,20.8,-25.5,29.0,11.0
1607694042,1607694042493.0,50.5296255,14.070871100000002,0.5566519,0.8475474000000001,-9.610325999999999,-0.00310321155,0.00017104297999999998,-0.04357913,187.90001,18.85,-25.5,29.0,11.0
1607694043,1607694043497.0,50.5296055,14.0709115,0.7553706,0.91458505,-9.61272,0.0030054413,-0.0028832834,-0.0038728868,187.6,17.8,-25.099998,29.0,11.0
1607694044,1607694044505.0,50.529587899999996,14.070960500000002,0.91099375,0.78649527,-9.672575,-0.008600999,0.010555753000000001,0.016285665,188.3,17.9,-23.8,29.0,11.0
1607694045,1607694045499.5,50.529568700000006,14.0710016,0.8726865,0.9612719999999999,-9.759963,-0.004324939,-0.009602801,-0.0057054823,187.90001,18.0,-24.5,29.0,11.0
1607694046,1607694046496.0,50.5295408,14.071060000000001,0.78649527,0.9510966249999999,-9.821015,0.010946691000000001,0.0032253694,-0.020366248,188.2,18.814999,-24.0,32.0,11.0
1607694047,1607694047497.0,50.5295156,14.0711087,0.6428431,0.9564835999999999,-9.616311,0.0023945756,-0.011435396,0.0046792263,188.1,19.4,-25.5,38.0,11.0
1607694048,1607694048502.0,50.529484499999995,14.071165300000002,0.6727706999999999,0.8774749,-9.688137,-0.004324939,-0.007770205,0.009566149,187.90001,19.2,-25.8,38.0,11.0
1607694049,1607694049498.0,50.5294554,14.071220499999999,0.78649527,0.9804255999999999,-9.613917,-0.0073792674,0.00078190863,0.0077335527,187.6,19.4,-25.699999,38.0,11.0
1607694050,1607694050502.0,50.5294178,14.071288099999999,0.6380547,1.1001357,-9.659407,0.006059769499999999,-0.007770205,-0.0130358655,187.8,18.7,-25.9,38.0,11.0
1607694051,1607694051502.0,50.529382299999995,14.0713546,0.49200845,1.6903063999999999,-9.582792,-0.006157536,0.008112292,-0.034416147,187.5,18.7,-26.0,38.0,11.0
1607694052,1607694052502.0,50.5293487,14.0714176,0.45130703,2.4612392999999995,-9.587581,0.0042271726,-0.0016615521,-0.0130358655,187.1,17.9,-26.3,38.0,11.0
1607694053,1607694053496.5,50.529319799999996,14.0714793,0.82001406,2.2948422,-9.53012,-0.0012706146,-0.0010506874000000002,-0.010592405,187.3,18.4,-26.199999,38.0,11.0
1607694054,1607694054503.0,50.5293084,14.0715098,0.35673606,2.0913353,-9.609129,0.021331400000000004,0.035601225,-0.27387533,186.90001,16.2,-26.3,38.0,11.0
1607694055,1607694055502.0,50.529287,14.0715584,-0.2657564,0.9576806999999999,-9.7479925,0.03904649,0.05270545,-0.47973692,185.7,11.4,-24.9,38.0,11.0
1607694056,1607694056496.0,50.529273700000005,14.0715908,-0.6931214,1.5969325,-9.703699,0.035992168,0.048429396,-0.43086769999999996,184.90001,4.0,-26.699999,38.0,11.0
1607694057,1607694057502.0,50.5292713,14.0716182,0.1388637,0.842759,-9.727641,0.008503228,0.020329595,-0.14925882,186.2,-1.6000003999999999,-27.699999,38.0,11.0
1607694058,1607694058496.0,50.5292765,14.0716385,0.61171854,0.61411273,-9.744401,0.010946691000000001,-0.008381071,0.0034574959999999996,187.1,-3.0,-27.699999,38.0,11.0
1607694059,1607694059136.0,50.5292896,14.0716565,1.0881646999999999,1.2198458,-9.6845455,0.016444478000000002,0.011166618,0.008955283,187.0,-3.0,-27.599998,38.0,11.0
1607694064,1607694064367.0,50.5293068,14.071673,0.7769185000000001,1.7274165000000001,-9.551667,0.008503228,-0.018154913999999998,0.013842205,186.6,-2.6000004,-27.699999,38.0,11.0
1607694065,1607694065496.0,50.5293872,14.071809400000001,1.0223241,0.46208093,-9.54209,-0.0037140771999999997,0.0044470998,0.09875247,187.5,-0.6000004,-25.5,38.0,11.0
1607694066,1607694066501.0,50.529396000000006,14.071825199999997,0.90620536,0.7278373,-9.655814999999999,-0.0128770545,-0.013878858,0.10425026,186.6,0.5999999,-25.699999,38.0,11.0
1607694067,1607694067502.0,50.529405,14.071844699999998,0.6428431,0.7086836999999999,-9.682152,-0.0055466704,-0.0053267440000000004,0.023005183999999998,186.31900000000002,1.5879998,-24.93,38.0,11.0
1607694068,1607694068504.0,50.529416299999994,14.0718832,0.80086046,0.69850835,-9.6480345,0.0023945756,0.007501425999999999,-0.027696632000000002,186.3,1.9000001,-25.3,38.0,11.0
1607694069,1607694069496.0,50.52942720000001,14.0719256,-0.1364695,0.8702923,-9.775525,0.017666206,0.012999213,-0.20729102,186.6,0.5999999,-24.4,38.0,11.0
1607694070,1607694070496.0,50.529439700000005,14.071974599999999,-0.3196259,2.1954830000000003,-9.369708000000001,0.015833613,0.02888171,-0.26104715,187.7,-2.1999998,-25.099998,38.0,11.0
1607694071,1607694071497.0,50.529447999999995,14.072004199999999,0.23942018,1.9393034,-9.56723,0.01339015,0.023994789,-0.18102379999999998,189.2,-5.2,-25.5,38.0,11.0
1607694072,1607694072496.0,50.529463799999995,14.072045800000001,0.48003745,1.3299791,-9.647436,0.0023945756,0.0026145047,-0.03685961,191.0,-6.5,-25.9,38.0,11.0
1607694073,1607694073486.0,50.5294798,14.072065400000001,0.89543146,1.0199299000000002,-9.610325999999999,-0.0055466704,-0.015100588,0.06332229,191.0,-6.8999996,-25.4,38.0,11.0
1607694074,1607694074502.0,50.5294942,14.072069099999998,0.7697359,0.5363011999999999,-9.720459,-0.01470965,-0.0034941481,0.035222486000000004,190.765,-6.523,-25.3,36.0,11.0
1607694075,1607694075497.0,50.5295078,14.0720718,0.7230489,2.0853498,-9.455899,-0.0012706146,-0.0034941481,0.029113835,190.3,-6.3,-25.9,36.0,11.0
1607694076,1607694076498.0,50.5295252,14.0720789,0.94092125,2.0135236,-9.508572000000001,-0.011044458,-0.005937609399999999,0.06882007400000001,189.90001,-5.8999996,-25.699999,36.0,11.0
1607694077,1607694077496.0,50.529539899999996,14.072087400000001,0.5734113000000001,1.4652513999999999,-9.585785000000001,-0.0031032115000000004,-0.0010506874000000002,0.012009609499999999,189.40001,-6.8,-24.5,36.0,11.0
1607694078,1607694078496.0,50.529551700000006,14.0720943,0.7098808000000001,1.1815386,-9.680955,-0.0006597489,-0.0010506874000000002,-0.008148944,188.90001,-9.200001,-24.099998,12.0,11.0
1607694079,1607694079497.0,50.5295525,14.0720937,0.6811504,1.1168951,-9.599552000000001,0.0030054413,-0.0022724178,-0.0020402912,188.90001,-9.6,-22.699999,9.0,11.0
1607694080,1607694080497.0,50.5295509,14.072092800000002,0.6823475,1.3311761999999998,-9.633070499999999,-0.0037140771999999997,-0.0010506874000000002,0.0034574959999999996,190.0,-8.9,-21.971999999999998,9.0,11.0
1607694081,1607694081498.0,50.5295496,14.0720924,0.7218518,1.2138603000000001,-9.634267999999999,0.0005619824,-0.00043982174000000004,0.013842205,190.5,-8.200001,-21.099998,6.0,11.0
1607694082,1607694082506.0,50.529547799999996,14.07209,0.6655880999999999,0.581791,-9.764750999999999,-0.0012706146,-0.0010506874000000002,-0.00020769518,190.8,-8.4,-20.4,6.0,56.0
1607694083,1607694083502.0,50.529545500000005,14.0720864,0.7170634,0.93732995,-9.661800999999999,-0.0024923459,-0.0016615521,0.00040316954,190.6,-8.200001,-21.199999,6.0,81.0
