,beat,end_beat,duration,se_distance
399,1606977260,1606977268,8,35.89567259206424
400,1606977330,1606977399,69,20.778597625058136
401,1606977417,1606977488,71,32.08447230999871
402,1606978319,1606978432,113,72.6542869450883
403,1606978574,1606978680,106,76.99912709229194
404,1606979698,1606979848,150,75.1861597675431
405,1606979973,1606980019,46,42.28719148100889
406,1606980059,1606980188,129,109.11509435258608
407,1606980295,1606980367,72,40.943606494802005
408,1606980785,1606980879,94,64.41663927750751
409,1606981657,1606981683,26,24.998780538808713
410,1606981689,1606981707,18,46.658132794786454
411,1606981872,1606981882,10,10.908530775710812
412,1606982081,1606982218,137,64.38288361475425
413,1606982316,1606982390,74,153.58175014295637
414,1606982514,1606982552,38,36.31092168244826
415,1606982630,1606982757,127,180.38653177655436
416,1606982961,1606983014,53,25.996631313391852
417,1606983035,1606983095,60,27.46366216248224
418,1606983124,1606983174,50,24.081320333186305
419,1606983232,1606983321,89,54.34411784585936
420,1606983368,1606983446,78,92.03146664889293
421,1606983548,1606983650,102,89.37703854330228
422,1606983712,1606983779,67,57.043411588157305
423,1606983821,1606983909,88,54.46445802467846
424,1606983985,1606984048,63,53.5599651751188
425,1606984305,1606984371,66,25.606406353599915
426,1606984402,1606984493,91,37.425876898361096
427,1606984607,1606984729,122,34.70558890432452
428,1606984905,1606984990,85,73.2854200707715
429,1606985014,1606985044,30,22.124894930718234
430,1606985267,1606985304,37,34.295043477251404
431,1606985338,1606985452,114,86.9584446028093
432,1606986861,1606986896,35,22.138903212823458
433,1606986918,1606986971,53,14.86376265297924
434,1606986986,1606987029,43,18.5223379692016
435,1606987048,1606987113,65,18.96573575590031
436,1606987190,1606987224,34,20.412981022018908
437,1606987278,1606987328,50,11.230491371182278
438,1606987351,1606987382,31,15.067950502767964
439,1606987455,1606987491,36,18.638104481873402
440,1606987752,1606987829,77,20.863924930357797
441,1606987844,1606987885,41,19.996974600925004
442,1606987992,1606988060,68,13.222627857401319
443,1606988075,1606988112,37,14.066958796126764
444,1606988186,1606988260,74,11.72962286496894
445,1606988332,1606988382,50,11.518570195438596
446,1606988457,1606988515,58,32.81948393610002
447,1606988557,1606988606,49,31.65453673007005
448,1606988667,1606988737,70,10.279676829698284
449,1606988894,1606989010,116,97.28991124409505
450,1606989079,1606989179,100,139.98452417241302
451,1606989291,1606989356,65,116.27527813459977
452,1606989358,1606989404,46,15.898231608125974
453,1606989469,1606989551,82,94.677278646548
454,1606989598,1606989676,78,99.10568869923169
455,1606989835,1606989862,27,13.755957535462645
456,1606989878,1606989931,53,16.898409235664595
457,1606989947,1606990046,99,101.96216661469285
458,1606990152,1606990245,93,68.09827555114042
459,1606990314,1606990459,145,87.03352284431882
460,1606990507,1606990524,17,30.657731772398407
461,1606990547,1606990689,142,63.469042953951636
462,1606993131,1606993163,32,16.44837686789174
463,1606993175,1606993305,130,14.941071683114084
464,1606993315,1606993373,58,12.878790618001654
465,1606993455,1606993491,36,13.646268959409786
466,1606993502,1606993547,45,14.861096154620508
467,1606993558,1606993594,36,13.581464932045552
468,1606993605,1606993665,60,13.859285206890672
469,1606993687,1606993723,36,17.10175905220308
470,1606993741,1606993787,46,16.03304067918787
471,1606993831,1606993878,47,20.607874059858496
472,1606993902,1606993949,47,21.27373839524205
473,1606993969,1606994019,50,18.80627837629445
474,1606994117,1606994197,80,18.399094657736228
475,1606994220,1606994262,42,17.420113274969108
476,1606994290,1606994331,41,13.15836527112097
477,1606994350,1606994395,45,12.991483261092323
478,1606994419,1606994469,50,18.412912423072292
479,1606994485,1606994534,49,13.59647492399576
480,1606994554,1606994622,68,12.32719004605082
481,1606994649,1606994702,52,10.656452966561135
482,1606994748,1606994783,35,17.876628214164228
483,1606997713,1606997797,84,65.20435843663343
484,1606997814,1606997863,49,15.856492541927642
485,1606997908,1606997974,66,14.118268158537022
486,1606997990,1606998026,36,21.811295160380762
487,1606998040,1606998078,38,15.305107464896633
488,1606998090,1606998133,43,21.64201751790672
489,1606998138,1606998169,31,11.216077859612922
490,1606998174,1606998225,51,21.20361781667284
491,1606998242,1606998278,36,22.792036629903905
492,1606998298,1606998335,37,25.365012342493795
493,1606998344,1606998382,38,12.98774358124931
494,1606998396,1606998436,40,19.673648896075836
495,1606998441,1606998484,43,16.81011632638582
496,1606998516,1606998560,44,22.962278458036664
497,1606998580,1606998624,44,25.378950215744236
498,1606998645,1606998695,50,27.01428218614539
499,1606998711,1606998748,37,29.769260074529868
500,1606998761,1606998798,37,24.249218855508936
501,1606998812,1606998845,33,23.284877285151325
502,1606998860,1606998906,46,21.163231491538266
503,1606998921,1606998956,35,19.19769411512324
504,1606998971,1606999008,37,26.305158899741432
505,1606999024,1606999067,43,28.428749696309776
506,1606999080,1606999115,35,26.68041313082284
507,1606999128,1606999273,145,60.480980488760224
508,1606999617,1606999709,92,156.10456882397733
509,1607000051,1607000204,153,167.8289949321827
510,1607000580,1607000692,112,188.94294052703617
511,1607000885,1607001058,173,162.14601249394414
512,1607001383,1607001414,31,10.716477875580527
513,1607001634,1607001807,173,164.3355452866862
514,1607002974,1607003076,102,67.73610071191806
515,1607063311,1607063408,97,69.0648238759233
516,1607063510,1607063643,133,74.2543993360131
517,1607063835,1607063936,101,75.48114257393954
518,1607064113,1607064205,92,73.59528754289084
519,1607064259,1607064384,125,59.26728356688392
520,1607064571,1607064598,27,24.864624376471347
521,1607064633,1607064689,56,20.30726454473001
522,1607064704,1607064784,80,64.07433033157952
523,1607065556,1607065682,126,180.93593340880733
524,1607065760,1607065862,102,183.2381440242156
525,1607065967,1607065976,9,32.70167327102727
526,1607066784,1607066805,21,59.3900494799316
527,1607066909,1607067068,159,184.79664851897718
528,1607067264,1607067307,43,13.439858335828092
529,1607067354,1607067461,107,187.22292206693243
530,1607067670,1607067710,40,26.95213693260331
531,1607067723,1607067773,50,22.10056863490183
532,1607067786,1607067835,49,30.167926754760863
533,1607068406,1607068498,92,92.90682632571247
534,1607068570,1607068686,116,188.26501633292446
535,1607069203,1607069235,32,15.46327699067165
536,1607069253,1607069300,47,34.8909808103926
537,1607069323,1607069355,32,16.6629040890557
538,1607069371,1607069420,49,34.71835414339494
539,1607069447,1607069511,64,71.8690075463756
540,1607069587,1607069624,37,26.22059933876785
541,1607069642,1607069701,59,20.100990721083583
542,1607069789,1607069821,32,15.851584312737769
543,1607069833,1607069905,72,16.74401460490179
544,1607069977,1607070138,161,39.49927065471019
545,1607070480,1607070566,86,100.31382733773087
546,1607070924,1607070974,50,31.10235223909311
547,1607070998,1607071051,53,30.77917441168502
548,1607071474,1607071585,111,156.2851864696354
549,1607071839,1607072015,176,26.760119366531455
550,1607072188,1607072352,164,186.06277512254272
551,1607072362,1607072392,30,12.210667781151482
552,1607072686,1607072818,132,162.06685536890578
553,1607072963,1607072999,36,13.131930908685261
554,1607073012,1607073053,41,16.450192244799236
555,1607073063,1607073140,77,128.3306388821857
556,1607073902,1607073910,8,18.283476325034574
557,1607074149,1607074215,66,11.966165968816684
558,1607074257,1607074336,79,10.741155278302456
559,1607079060,1607079092,32,12.798390802439094
560,1607079107,1607079140,33,14.554232263292182
561,1607079245,1607079286,41,14.357429565216627
562,1607079300,1607079345,45,18.88952278112633
563,1607079360,1607079412,52,16.721159072118073
564,1607079426,1607079471,45,19.021723113022425
565,1607079493,1607079537,44,13.507337193250414
566,1607079556,1607079597,41,20.54222367033932
567,1607079623,1607079697,74,15.764215817976101
568,1607079724,1607079778,54,18.15574679503604
569,1607079799,1607079843,44,22.556756174690673
570,1607079977,1607080057,80,16.273025598108234
571,1607080078,1607080129,51,10.782525451077762
572,1607080153,1607080205,52,14.543294080314086
573,1607080230,1607080285,55,15.669221420142684
574,1607080310,1607080357,47,10.308828986937632
575,1607080379,1607080433,54,14.843345486104441
576,1607080838,1607080848,10,26.94108084604906
577,1607080929,1607080961,32,10.542303199454354
578,1607080976,1607081037,61,24.689487404441593
579,1607081059,1607081097,38,15.73479934933697
580,1607081109,1607081157,48,11.429571039772544
581,1607090581,1607090676,95,163.36874417147098
582,1607090684,1607090693,9,43.210438754630424
583,1607322310,1607322505,195,153.18200388303413
584,1607322639,1607322750,111,161.30867565644752
585,1607322920,1607323022,102,190.46297346101673
586,1607323130,1607323227,97,156.11102974025422
587,1607323294,1607323387,93,158.39939737502257
588,1607323494,1607323586,92,154.86026290811603
589,1607325606,1607325703,97,75.80205765091722
590,1607325811,1607325887,76,77.34908570770202
591,1607326220,1607326356,136,77.39342581989992
592,1607326417,1607326446,29,46.57860068709862
593,1607326452,1607326461,9,31.02215128674729
594,1607326462,1607326485,23,54.86125224239383
595,1607326551,1607326645,94,79.03180910343384
596,1607326697,1607326808,111,79.51688932937401
597,1607326900,1607327002,102,134.9754678310303
598,1607327070,1607327159,89,98.16784900017059
599,1607328137,1607328220,83,94.96260641394201
600,1607328442,1607328473,31,12.744941013548484
601,1607328474,1607328556,82,107.33387097002266
602,1607328616,1607328728,112,194.55687534793273
603,1607329097,1607329202,105,190.46653203281465
604,1607329287,1607329392,105,190.9359544967183
605,1607330487,1607330551,64,63.758179425049065
606,1607330642,1607330829,187,180.16132257284744
607,1607330853,1607330891,38,17.104119117272816
608,1607330991,1607331041,50,19.588281504463296
609,1607331093,1607331136,43,14.992178455766512
610,1607331154,1607331206,52,18.626579327694795
611,1607331402,1607331444,42,17.70219246845952
612,1607331630,1607331663,33,14.108965541656321
613,1607331672,1607331727,55,14.486443662553958
614,1607331737,1607331777,40,23.65142837297267
615,1607331792,1607331828,36,14.505769348359106
616,1607332075,1607332134,59,28.190012640736594
617,1607332277,1607332289,12,13.206485946085785
618,1607332559,1607332575,16,51.32649493777927
619,1607332583,1607332594,11,26.14196713386875
620,1607332677,1607332688,11,57.67590437630346
621,1607333132,1607333184,52,78.24832541926224
622,1607333206,1607333279,73,88.02602495272498
623,1607333338,1607333402,64,87.0988539385447
624,1607333425,1607333473,48,54.061800053626705
625,1607333499,1607333566,67,56.131214645391736
626,1607333611,1607333619,8,30.698717923790674
627,1607334056,1607334098,42,11.589900188580685
628,1607334123,1607334161,38,20.52172640359431
629,1607334210,1607334247,37,18.038358914671416
630,1607334267,1607334309,42,16.67757330087034
631,1607334326,1607334375,49,20.581823572854315
632,1607334455,1607334502,47,33.336940526215265
633,1607334536,1607334567,31,25.258719239764176
634,1607334611,1607334658,47,27.13579631806436
635,1607334672,1607334730,58,33.256491807193754
636,1607334772,1607334814,42,31.10536277104136
637,1607334829,1607334873,44,35.372336592530225
638,1607334899,1607334949,50,32.71759484211572
639,1607335091,1607335138,47,34.00507659915908
640,1607335155,1607335191,36,15.334537227406479
641,1607335205,1607335294,89,17.820653569185623
642,1607335311,1607335349,38,34.17133235585534
643,1607335653,1607335694,41,37.098470715114225
644,1607335716,1607335769,53,69.88172170744897
645,1607335899,1607335958,59,74.94287650842537
646,1607335989,1607336037,48,30.655452830657676
647,1607336056,1607336115,59,103.26558731561897
648,1607338923,1607338971,48,14.714611168114088
649,1607339012,1607339048,36,15.816927943990903
650,1607339071,1607339150,79,14.689069039435017
651,1607339163,1607339209,46,12.028182890089429
652,1607339219,1607339254,35,12.237512447871124
